Year,Month,ProductKey,OrderDate,ShipDate,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt
2007,11,356,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,27447,1,4,SO50323,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,377,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,18158,1,10,SO50324,1,1,2181.5625,1320.6838,2181.5625,174.525
2007,11,356,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,27291,1,1,SO50325,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,354,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,21620,1,6,SO50326,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,343,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,21130,1,10,SO50327,1,1,782.99,486.7066,782.99,62.6392
2007,11,356,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,11401,1,7,SO50328,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,354,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,11403,1,7,SO50329,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,323,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,15892,1,1,SO50330,1,1,782.99,486.7066,782.99,62.6392
2007,11,329,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,15915,1,4,SO50331,1,1,782.99,486.7066,782.99,62.6392
2007,11,385,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,25222,1,9,SO50332,1,1,1000.4375,605.6492,1000.4375,80.035
2007,11,352,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,15580,1,9,SO50333,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,360,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,15595,1,9,SO50334,1,1,2049.0982,1105.81,2049.0982,163.9279
2007,11,356,2007-11-01 00:00:00.000,2007-11-08 00:00:00.000,15648,1,9,SO50335,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,362,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,27449,2,4,SO50336,1,1,2049.0982,1105.81,2049.0982,163.9279
2007,11,358,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,21652,1,6,SO50337,1,1,2049.0982,1105.81,2049.0982,163.9279
2007,11,377,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,17946,1,8,SO50338,1,1,2181.5625,1320.6838,2181.5625,174.525
2007,11,379,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,18026,1,10,SO50339,1,1,2181.5625,1320.6838,2181.5625,174.525
2007,11,379,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,16424,1,7,SO50340,1,1,2181.5625,1320.6838,2181.5625,174.525
2007,11,356,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,27289,1,4,SO50341,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,360,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,27425,1,4,SO50342,1,1,2049.0982,1105.81,2049.0982,163.9279
2007,11,377,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,26310,1,6,SO50343,1,1,2181.5625,1320.6838,2181.5625,174.525
2007,11,337,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,15937,1,1,SO50344,1,1,782.99,486.7066,782.99,62.6392
2007,11,354,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,15225,1,9,SO50345,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,354,2007-11-02 00:00:00.000,2007-11-09 00:00:00.000,15575,1,9,SO50346,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,356,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,27405,1,4,SO50347,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,381,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,19311,1,8,SO50348,1,1,1000.4375,605.6492,1000.4375,80.035
2007,11,381,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,19314,1,8,SO50349,1,1,1000.4375,605.6492,1000.4375,80.035
2007,11,343,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,21103,1,10,SO50350,1,1,782.99,486.7066,782.99,62.6392
2007,11,337,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,15885,1,1,SO50351,1,1,782.99,486.7066,782.99,62.6392
2007,11,335,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,15948,1,4,SO50352,1,1,782.99,486.7066,782.99,62.6392
2007,11,385,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,14440,1,4,SO50353,1,1,1000.4375,605.6492,1000.4375,80.035
2007,11,381,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,14456,1,1,SO50354,1,1,1000.4375,605.6492,1000.4375,80.035
2007,11,352,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,15268,1,9,SO50355,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,354,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,15600,1,9,SO50356,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,352,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,15643,1,9,SO50357,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,333,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,27339,1,9,SO50358,1,1,782.99,486.7066,782.99,62.6392
2007,11,370,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,24274,1,9,SO50359,1,1,2443.35,1518.7864,2443.35,195.468
2007,11,368,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,24301,1,9,SO50360,1,1,2443.35,1518.7864,2443.35,195.468
2007,11,387,2007-11-03 00:00:00.000,2007-11-10 00:00:00.000,19510,1,10,SO50361,1,1,1000.4375,605.6492,1000.4375,80.035
2007,11,362,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,27292,2,1,SO50362,1,2,1024.5491,1105.81,2049.0982,163.9279
2007,11,358,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,27263,1,4,SO50363,1,2,1024.5491,1105.81,2049.0982,163.9279
2007,11,325,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,21106,1,10,SO50364,1,2,391.495,486.7066,782.99,62.6392
2007,11,370,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,13925,1,4,SO50365,1,2,1221.675,1518.7864,2443.35,195.468
2007,11,369,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,26294,2,6,SO50366,1,2,1221.675,1518.7864,2443.35,195.468
2007,11,381,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,26572,1,6,SO50367,1,2,500.2187,605.6492,1000.4375,80.035
2007,11,362,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,15265,2,9,SO50368,1,2,1024.5491,1105.81,2049.0982,163.9279
2007,11,352,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,15642,1,9,SO50369,1,2,1035.7098,1117.8559,2071.4196,165.7136
2007,11,377,2007-11-04 00:00:00.000,2007-11-11 00:00:00.000,17941,1,8,SO50370,1,2,1090.7812,1320.6838,2181.5625,174.525
2007,11,373,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,16431,1,7,SO50371,1,4,545.3906,1320.6838,2181.5625,174.525
2007,11,358,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,27440,1,1,SO50372,1,4,512.2745,1105.81,2049.0982,163.9279
2007,11,358,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,27260,1,4,SO50373,1,4,512.2745,1105.81,2049.0982,163.9279
2007,11,383,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,17787,1,7,SO50374,1,4,250.1093,605.6492,1000.4375,80.035
2007,11,381,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,17830,1,7,SO50375,1,4,250.1093,605.6492,1000.4375,80.035
2007,11,385,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,17831,1,7,SO50376,1,4,250.1093,605.6492,1000.4375,80.035
2007,11,333,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,20913,1,8,SO50377,1,4,195.7475,486.7066,782.99,62.6392
2007,11,321,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,19473,1,7,SO50378,1,4,195.7475,486.7066,782.99,62.6392
2007,11,358,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,13251,1,10,SO50379,1,4,512.2745,1105.81,2049.0982,163.9279
2007,11,356,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,11420,1,7,SO50380,1,4,517.8549,1117.8559,2071.4196,165.7136
2007,11,356,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,15436,1,9,SO50381,1,4,517.8549,1117.8559,2071.4196,165.7136
2007,11,360,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,15591,1,9,SO50382,1,4,512.2745,1105.81,2049.0982,163.9279
2007,11,327,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,27353,1,9,SO50383,1,4,195.7475,486.7066,782.99,62.6392
2007,11,341,2007-11-05 00:00:00.000,2007-11-12 00:00:00.000,27371,1,9,SO50384,1,4,195.7475,486.7066,782.99,62.6392
2007,11,356,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,27258,1,4,SO50385,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,373,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,17942,1,8,SO50386,1,1,2181.5625,1320.6838,2181.5625,174.525
2007,11,354,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,27407,1,1,SO50387,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,352,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,27266,1,4,SO50388,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,362,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,12813,2,8,SO50389,1,1,2049.0982,1105.81,2049.0982,163.9279
2007,11,352,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,13253,1,10,SO50390,1,1,2071.4196,1117.8559,2071.4196,165.7136
2007,11,337,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,15901,1,1,SO50391,1,1,782.99,486.7066,782.99,62.6392
2007,11,329,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,15902,1,1,SO50392,1,1,782.99,486.7066,782.99,62.6392
2007,11,335,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,15918,1,1,SO50393,1,1,782.99,486.7066,782.99,62.6392
2007,11,333,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,27557,1,6,SO50394,1,1,782.99,486.7066,782.99,62.6392
2007,11,383,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,14439,1,1,SO50395,1,1,1000.4375,605.6492,1000.4375,80.035
2007,11,362,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,15439,2,9,SO50396,1,1,2049.0982,1105.81,2049.0982,163.9279
2007,11,360,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,15588,1,9,SO50397,1,1,2049.0982,1105.81,2049.0982,163.9279
2007,11,360,2007-11-06 00:00:00.000,2007-11-13 00:00:00.000,15645,1,9,SO50398,1,1,2049.0982,1105.81,2049.0982,163.9279
